Date,Project,Chain,Project Type,Loss,Type,Attack tx,Analyse,Reference Link
2023.06.30,Biswap,BSC BSC BSC,,72K,V3Migrator Exploit,https://bscscan.com//tx/0xe13ec0941580d3c286b46fa6566f20195bdd52b3d65fc7ff4a953a8fc774c6c4|https://bscscan.com//tx/0xe5c89e9ac217e4e16c2399f3597f7b5fbb73b45c1d3360788ee51ea2561def3a|https://bscscan.com//tx/0x8693a95f8481ba02ceaabed8e95b4e1eb8ac589c69c027c96b12ac5295714c3f,,
2023.06.28,Themis,Arbitrum Arbitrum,,370K,Manipulation of prices using Flashloan,https://arbiscan.io/tx/0xff368294ccb3cd6e7e263526b5c820b22dea2b2fd8617119ba5c3ab8417403d8|https://app.blocksec.com/explorer/tx/arbitrum/0xff368294ccb3cd6e7e263526b5c820b22dea2b2fd8617119ba5c3ab8417403d8,,
2023.06.27,UnverifiedContr_9ad32,BSC BSC,,5955USD,Business Loigc Flaw,https://bscscan.com/tx/0xe1bf84b7a57498c0573361b20b16077cc933e4c47aa0821bcea5b158a60ef505|https://bscscan.com/tx/0x1147b3c0f3ebdd524c4e58430bb736eba9f7fa522158f5ad81eb3e2394b466d0,,
2023.06.21,BabyDogeCoin02,BSC BSC,,441BNB,Lack Slippage Protection,https://bscscan.com/tx/0xbaf3e4841614eca5480c63662b41cd058ee5c85dc69198b29e7ab63b84bc866c|https://bscscan.com/tx/0x24a68d2a4bbb02f398d3601acfd87b09f543d935fc24862c314aaf64c295acdb,,
2023.06.19,Contract_0x7657,ETH,,20K,Business Loigc,https://etherscan.io/tx/0x74279a131dccd6479378b3454ea189a6ce350cce51de47d81a0ef23db1b134d5,,
2023.06.18,ARA,BSC,,125K,Incorrect handling of permissions,https://bscscan.com/tx/0xd87cdecd5320301bf9a985cc17f6944e7e7c1fbb471c80076ef2d031cc3023b2,,
2023.06.15,CFC,ETH BSC ETH,,16K,Uniswap Skim() token balance attack,https://etherscan.io/tx/0x08b5f35076beb363a7206b8f9b4a6460f42aa9f998b561582fb4e4cdd6f05dce|https://bscscan.com/tx/0xa3c130ed8348919f73cbefce0f22d46fa381c8def93654e391ddc95553240c1e|https://etherscan.io/tx/0x5ffca249533f0fd12360b80a257245e4f7ea71bb79b3a8cc7700609e270145a1,,
2023.06.11,SellToken04,BSC,,109K,Price Manipulation,https://bscscan.com/tx/0x6dc47343352631501bb36f120f37d677be0c7ef890b01f56df8235dcfec29458,,
2023.06.06,VINU,ETH,,6K,Price Manipulation,https://etherscan.io/tx/0xaf46a42fe1ed7193b25c523723dc047c7500e50a00ecb7bbb822d665adb3e1f3,,
2023.05.29,NOON (NO),BSC ETH BSC,,2K,Wrong visibility in function,https://bscscan.com/tx/0x95f1806162b55c1d8bb3f96e8869c33fe111b2d6e13772602f2cb9536b39e3d7|https://app.blocksec.com/explorer/tx/eth/0x23fb7f093e827ed061aafb574cfd420eab879621c7f78cb341292e106a3a88c0|https://bscscan.com/tx/0xa2be65e439eb182e8f2acfe7eff9a4bab55eb3cd789dcc0ddd19bf811af78a93,,
